Districts,Yield (kW),Earnings
1,1,Not Eligible
1,1.1,Not Eligible
1,1.8,Eligible
1,2.2,Eligible
1,1.5,Eligible
1,0.9,Not Eligible
1,3,Eligible
1,3.5,Eligible
1,3.3,Eligible
0,1.2,Not Eligible
0,1,Not Eligible
0,1.9,Not Eligible
0,1.5,Not Eligible
0,3,Eligible
0,2.3,Eligible
0,2.6,Eligible
0,1.7,Not Eligible
0,1.4,Not Eligible
0,2.7,Eligible
0,1.7,Not Eligible
0,1.8,Not Eligible
0,1.9,Not Eligible
0,2,Eligible
0,2.1,Eligible
1,1.7,Eligible
0,1.99,Eligible
1,4.03,Eligible
1,1.4,Not Eligible
0,2.9,Eligible
0,1,Not Eligible
1,2.78,Eligible
0,6,Eligible
1,2,Eligible
1,2,Eligible
0,1.89,Not Eligible
1,3.19,Eligible
